#Organism Name,Organism Groups,Strain,BioSample,BioProject,Assembly,Level,Size(Mb),GC%,Replicons,WGS,Scaffolds,CDS,Release Date,GenBank FTP,RefSeq FTP
"Klebsiella grimontii","Bacteria;Proteobacteria;Gammaproteobacteria","RHBSTW-00577","SAMN15148657","PRJNA605147","GCA_013735435.1","Complete",6.1348,55.6251,"chromosome:NZ_CP056701.1/CP056701.1; plasmid pRHBSTW-00577_2:NZ_CP056702.1/CP056702.1; plasmid pRHBSTW-00577_3:NZ_CP056703.1/CP056703.1; plasmid pRHBSTW-00577_4:NZ_CP056704.1/CP056704.1; plasmid pRHBSTW-00577_5:NZ_CP056705.1/CP056705.1; plasmid pRHBSTW-00577_6:NZ_CP056706.1/CP056706.1",,6,5614,"2020-07-27T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/013/735/435/GCA_013735435.1_ASM1373543v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/013/735/435/GCF_013735435.1_ASM1373543v1"
"Klebsiella michiganensis","Bacteria;Proteobacteria;Gammaproteobacteria","Kmfe267","SAMN18138829","PRJNA638288","GCA_017348855.1","Complete",6.39829,55.5163,"chromosome:NZ_CP071393.1/CP071393.1; plasmid pKmfe267-1:NZ_CP071394.1/CP071394.1; plasmid pKmfe267-2:NZ_CP071395.1/CP071395.1; plasmid pKmfe267-3:NZ_CP071396.1/CP071396.1; plasmid pKmfe267-4:NZ_CP071397.1/CP071397.1; plasmid pKmfe267-5:NZ_CP071398.1/CP071398.1",,6,5837,"2021-03-13T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/017/348/855/GCA_017348855.1_ASM1734885v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/017/348/855/GCF_017348855.1_ASM1734885v1"
"Klebsiella michiganensis","Bacteria;Proteobacteria;Gammaproteobacteria","M82255","SAMN10743308","PRJNA512395","GCA_004102625.1","Complete",6.60452,55.5301,"chromosome:NZ_CP035214.1/CP035214.1; plasmid pKOCBH-A:NZ_CP035215.1/CP035215.1; plasmid pKOCBH-B:NZ_CP035216.1/CP035216.1; plasmid pKOCBH-C:NZ_CP035217.1/CP035217.1; plasmid pKOCBH-D:NZ_CP035218.1/CP035218.1; plasmid pKOCBH-E:NZ_CP035219.1/CP035219.1",,6,5950,"2019-01-22T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/004/102/625/GCA_004102625.1_ASM410262v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/004/102/625/GCF_004102625.1_ASM410262v1"
"Klebsiella aerogenes","Bacteria;Proteobacteria;Gammaproteobacteria","HNHF1","SAMN13829509","PRJNA600670","GCA_009909445.1","Complete",5.488,54.7325,"chromosome:NZ_CP047669.1/CP047669.1; plasmid pHNHF1_NDM-9:NZ_CP047668.1/CP047668.1",,2,5041,"2020-01-21T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/009/909/445/GCA_009909445.1_ASM990944v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/009/909/445/GCF_009909445.1_ASM990944v1"
"Klebsiella variicola","Bacteria;Proteobacteria;Gammaproteobacteria","15WZ-82","SAMN10036351","PRJNA490428","GCA_004014895.1","Complete",6.05868,56.5689,"chromosome:NZ_CP032354.1/CP032354.1; plasmid p15WZ-82_KPC:NZ_CP032355.1/CP032355.1; plasmid p15WZ-82_Vir:NZ_CP032356.1/CP032356.1; plasmid p15WZ-82_res:NZ_CP032357.1/CP032357.1",,4,5698,"2019-01-14T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/004/014/895/GCA_004014895.1_ASM401489v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/004/014/895/GCF_004014895.1_ASM401489v1"
"Klebsiella aerogenes","Bacteria;Proteobacteria;Gammaproteobacteria","FDAARGOS_139","SAMN03996283","PRJNA231221","GCA_001593585.2","Complete",5.2978,55.052,"chromosome:NZ_CP014748.2/CP014748.2; plasmid unnamed:NZ_CP014747.1/CP014747.1",,2,4812,"2016-03-17T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/593/585/GCA_001593585.2_ASM159358v2","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/593/585/GCF_001593585.2_ASM159358v2"
"Klebsiella michiganensis","Bacteria;Proteobacteria;Gammaproteobacteria","C52","SAMN12289379","PRJNA550014","GCA_008931605.1","Complete",6.31233,55.8186,"chromosome:NZ_CP042545.1/CP042545.1; plasmid pC52_001:NZ_CP042546.1/CP042546.1; plasmid pC52_002:NZ_CP042547.1/CP042547.1; plasmid pC52_003:NZ_CP042548.1/CP042548.1; plasmid pC52_004:NZ_CP042549.1/CP042549.1; plasmid pC52_005:NZ_CP042550.1/CP042550.1",,6,5742,"2019-10-09T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/008/931/605/GCA_008931605.1_ASM893160v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/008/931/605/GCF_008931605.1_ASM893160v1"
"Klebsiella aerogenes","Bacteria;Proteobacteria;Gammaproteobacteria","Ka37751","SAMN12330869","PRJNA555744","GCA_007632255.1","Complete",5.24927,54.9419,"chromosome:NZ_CP041925.1/CP041925.1; plasmid unnamed1:NZ_CP041926.1/CP041926.1",,2,4813,"2019-07-30T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/007/632/255/GCA_007632255.1_ASM763225v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/007/632/255/GCF_007632255.1_ASM763225v1"
"Klebsiella aerogenes","Bacteria;Proteobacteria;Gammaproteobacteria","WP5-W18-CRE-01","SAMD00194509","PRJDB6962","GCA_014169215.1","Complete",5.4626,54.777,"chromosome:NZ_AP022108.1/AP022108.1; plasmid pWP5-W18-CRE-01_1:NZ_AP022109.1/AP022109.1",,2,5006,"2020-07-21T23:33:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/014/169/215/GCA_014169215.1_ASM1416921v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/014/169/215/GCF_014169215.1_ASM1416921v1"
"Klebsiella aerogenes","Bacteria;Proteobacteria;Gammaproteobacteria","CAV1320","SAMN03733745","PRJNA246471","GCA_001021995.1","Complete",5.13897,54.9992,"chromosome:NZ_CP011574.1/CP011574.1; plasmid pKPC_CAV1320:NZ_CP011573.1/CP011573.1",,2,4702,"2015-06-09T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/021/995/GCA_001021995.1_ASM102199v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/021/995/GCF_001021995.1_ASM102199v1"
"Klebsiella oxytoca","Bacteria;Proteobacteria;Gammaproteobacteria","FDAARGOS_500","SAMN10163176","PRJNA231221","GCA_003812925.1","Complete",5.87908,55.1572,"chromosome:NZ_CP033844.1/CP033844.1; plasmid unnamed1:NZ_CP033845.1/CP033845.1; plasmid unnamed2:NZ_CP033846.1/CP033846.1",,3,5323,"2018-11-21T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/812/925/GCA_003812925.1_ASM381292v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/812/925/GCF_003812925.1_ASM381292v1"
"Klebsiella variicola","Bacteria;Proteobacteria;Gammaproteobacteria","13450","SAMN08366846","PRJNA407397","GCA_009497715.1","Complete",6.02143,56.6273,"chromosome:NZ_CP026013.1/CP026013.1; plasmid p13450-1:NZ_CP026014.1/CP026014.1; plasmid p13450-2:NZ_CP026016.1/CP026016.1; plasmid p13450-3:NZ_CP026015.1/CP026015.1",,4,5644,"2019-11-04T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/009/497/715/GCA_009497715.1_ASM949771v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/009/497/715/GCF_009497715.1_ASM949771v1"
"Klebsiella aerogenes","Bacteria;Proteobacteria;Gammaproteobacteria","EA46506","SAMN16933261","PRJNA700516","GCA_016939495.1","Complete",5.19791,54.9663,"chromosome:NZ_CP070520.1/CP070520.1; plasmid p4605_KPC:NZ_CP070519.1/CP070519.1",,2,4802,"2021-02-25T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/016/939/495/GCA_016939495.1_ASM1693949v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/016/939/495/GCF_016939495.1_ASM1693949v1"
"Klebsiella oxytoca","Bacteria;Proteobacteria;Gammaproteobacteria","FDAARGOS_1332","SAMN16357474","PRJNA231221","GCA_016903715.1","Complete",6.05063,54.947,"chromosome:NZ_CP069943.1/CP069943.1; plasmid unnamed1:NZ_CP069944.1/CP069944.1; plasmid unnamed2:NZ_CP069942.1/CP069942.1",,3,5438,"2021-02-17T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/016/903/715/GCA_016903715.1_ASM1690371v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/016/903/715/GCF_016903715.1_ASM1690371v1"
"Klebsiella oxytoca","Bacteria;Proteobacteria;Gammaproteobacteria","RHBSTW-00432","SAMN15148609","PRJNA605147","GCA_013737895.1","Complete",6.26811,55.6007,"chromosome:CP056539.1; plasmid pRHBSTW-00432_2:CP056540.1; plasmid pRHBSTW-00432_3:CP056541.1; plasmid pRHBSTW-00432_4:CP056542.1; plasmid pRHBSTW-00432_5:CP056543.1; plasmid pRHBSTW-00432_6:CP056544.1; plasmid pRHBSTW-00432_7:CP056545.1",,7,5737,"2020-07-27T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/013/737/895/GCA_013737895.1_ASM1373789v1",
"Klebsiella variicola","Bacteria;Proteobacteria;Gammaproteobacteria","KP2757","SAMN15941323","PRJNA660205","GCA_014489395.1","Complete",5.98407,56.6629,"chromosome:NZ_CP060807.1/CP060807.1; plasmid p2757-138:NZ_CP060808.1/CP060808.1; plasmid p2757-346:NZ_CP060810.1/CP060810.1; plasmid p2757-40:NZ_CP060809.1/CP060809.1",,4,5608,"2020-09-06T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/014/489/395/GCA_014489395.1_ASM1448939v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/014/489/395/GCF_014489395.1_ASM1448939v1"
"Klebsiella variicola","Bacteria;Proteobacteria;Gammaproteobacteria","FDAARGOS_627","SAMN11056342","PRJNA231221","GCA_008693465.1","Complete",5.95763,56.755,"chromosome:NZ_CP044050.1/CP044050.1; plasmid unnamed1:NZ_CP044049.1/CP044049.1; plasmid unnamed2:NZ_CP044051.1/CP044051.1; plasmid unnamed3:NZ_CP044052.1/CP044052.1",,4,5536,"2019-09-25T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/008/693/465/GCA_008693465.1_ASM869346v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/008/693/465/GCF_008693465.1_ASM869346v1"
"Klebsiella grimontii","Bacteria;Proteobacteria;Gammaproteobacteria","RHBSTW-00039","SAMN15148459","PRJNA605147","GCA_013635015.1","Complete",6.40015,55.719,"chromosome:NZ_CP058180.1/CP058180.1; plasmid pRHBSTW-00039_2:NZ_CP058181.1/CP058181.1; plasmid pRHBSTW-00039_3:NZ_CP058182.1/CP058182.1; plasmid pRHBSTW-00039_4:NZ_CP058183.1/CP058183.1; plasmid pRHBSTW-00039_5:NZ_CP058184.1/CP058184.1; plasmid pRHBSTW-00039_6:NZ_CP058185.1/CP058185.1; plasmid pRHBSTW-00039_7:NZ_CP058186.1/CP058186.1",,7,5967,"2020-07-24T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/013/635/015/GCA_013635015.1_ASM1363501v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/013/635/015/GCF_013635015.1_ASM1363501v1"
"Klebsiella aerogenes EA1509E","Bacteria;Proteobacteria;Gammaproteobacteria","EA1509E","SAMEA3138432","PRJNA61107","GCA_000334515.1","Complete",5.5911,54.9278,"chromosome:NC_020181.1/FO203355.1; plasmid pEA1509_A:NC_020182.1/FO203353.1; plasmid pEA1509_B:NC_020180.1/FO203354.1",,3,5145,"2013-01-25T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/334/515/GCA_000334515.1_ASM33451v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/334/515/GCF_000334515.1_ASM33451v1"
"Klebsiella aerogenes","Bacteria;Proteobacteria;Gammaproteobacteria","RHBSTW-00898","SAMN15148733","PRJNA605147","GCA_013727635.1","Complete",5.44801,54.8325,"chromosome:NZ_CP056260.1/CP056260.1; plasmid pRHBSTW-00898_2:NZ_CP056261.1/CP056261.1; plasmid pRHBSTW-00898_3:NZ_CP056262.1/CP056262.1",,3,5058,"2020-07-27T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/013/727/635/GCA_013727635.1_ASM1372763v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/013/727/635/GCF_013727635.1_ASM1372763v1"
"Klebsiella aerogenes","Bacteria;Proteobacteria;Gammaproteobacteria","FDAARGOS_327","SAMN06173340","PRJNA231221","GCA_003546885.1","Complete",5.40017,54.9947,"chromosome:NZ_CP031756.1/CP031756.1; plasmid unnamed1:NZ_CP031757.1/CP031757.1; plasmid unnamed2:NZ_CP031758.1/CP031758.1",,3,4999,"2018-09-11T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/546/885/GCA_003546885.1_ASM354688v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/546/885/GCF_003546885.1_ASM354688v1"
"Klebsiella variicola","Bacteria;Proteobacteria;Gammaproteobacteria","GJ2","SAMN05361854","PRJNA327903","GCA_001989515.1","Complete",5.92703,57.0752,"chromosome:NZ_CP017849.1/CP017849.1; plasmid pKPGJ-2a:NZ_CP017850.1/CP017850.1; plasmid pKPGJ-2b:NZ_CP017851.1/CP017851.1; plasmid pKPGJ-2c:NZ_CP017852.1/CP017852.1; plasmid pKPGJ-2d:NZ_CP017853.1/CP017853.1",,5,5526,"2017-02-07T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/989/515/GCA_001989515.1_ASM198951v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/989/515/GCF_001989515.1_ASM198951v1"
"Klebsiella variicola","Bacteria;Proteobacteria;Gammaproteobacteria","GJ3","SAMN05361855","PRJNA327903","GCA_001989535.1","Complete",5.93307,57.0705,"chromosome:NZ_CP017289.1/CP017289.1; plasmid pKPGJ-3a:NZ_CP017285.1/CP017285.1; plasmid pKPGJ-3b:NZ_CP017286.1/CP017286.1; plasmid pKPGJ-3c:NZ_CP017287.1/CP017287.1; plasmid pKPGJ-3d:NZ_CP017288.1/CP017288.1",,5,5538,"2017-02-07T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/989/535/GCA_001989535.1_ASM198953v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/989/535/GCF_001989535.1_ASM198953v1"
"Klebsiella oxytoca KONIH1","Bacteria;Proteobacteria;Gammaproteobacteria","KONIH1","SAMN02786843","PRJNA202895","GCA_000714655.1","Complete",6.6849,55.6381,"chromosome:NZ_CP008788.1/CP008788.1; plasmid pKOX-137:NZ_CP008789.1/CP008789.1; plasmid pKOX-86d:NZ_CP008790.1/CP008790.1; plasmid pKPC-727:NZ_CP008791.1/CP008791.1",,4,6210,"2014-06-27T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/714/655/GCA_000714655.1_ASM71465v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/714/655/GCF_000714655.1_ASM71465v1"
"Klebsiella variicola","Bacteria;Proteobacteria;Gammaproteobacteria","KPN029","SAMN16685814","PRJNA674961","GCA_015694045.1","Complete",6.18762,56.4796,"chromosome:NZ_CP065162.1/CP065162.1; plasmid unnamed1:NZ_CP065163.1/CP065163.1; plasmid unnamed2:NZ_CP065164.1/CP065164.1; plasmid unnamed3:NZ_CP065165.1/CP065165.1; plasmid unnamed4:NZ_CP065166.1/CP065166.1",,5,5865,"2020-11-29T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/015/694/045/GCA_015694045.1_ASM1569404v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/015/694/045/GCF_015694045.1_ASM1569404v1"
"Klebsiella variicola","Bacteria;Proteobacteria;Gammaproteobacteria","KPN1481","SAMN06438458","PRJNA376414","GCA_002156765.1","Complete",6.10613,56.7365,"chromosome:NZ_CP020847.1/CP020847.1; plasmid pKPN1481-1:NZ_CP020848.1/CP020848.1; plasmid pKPN1481-2:NZ_CP020851.1/CP020851.1; plasmid pKPN1481-3:NZ_CP020852.1/CP020852.1; plasmid pKPN1481-4:NZ_CP020850.1/CP020850.1; plasmid pKPN1481-5:NZ_CP020849.1/CP020849.1",,6,5649,"2017-05-23T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/156/765/GCA_002156765.1_ASM215676v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/156/765/GCF_002156765.1_ASM215676v1"
"Klebsiella oxytoca","Bacteria;Proteobacteria;Gammaproteobacteria","RHB30-C02","SAMN15148287","PRJNA605147","GCA_013826985.1","Complete",6.33293,54.6345,"chromosome:NZ_CP057330.1/CP057330.1; plasmid pRHB30-C02_2:NZ_CP057331.1/CP057331.1; plasmid pRHB30-C02_3:NZ_CP057332.1/CP057332.1; plasmid pRHB30-C02_4:NZ_CP057333.1/CP057333.1",,4,5763,"2020-07-28T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/013/826/985/GCA_013826985.1_ASM1382698v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/013/826/985/GCF_013826985.1_ASM1382698v1"
"Klebsiella oxytoca","Bacteria;Proteobacteria;Gammaproteobacteria","FDAARGOS_1331","SAMN16357473","PRJNA231221","GCA_016904515.1","Complete",6.00802,55.0832,"chromosome:NZ_CP070144.1/CP070144.1; plasmid unnamed1:NZ_CP070145.1/CP070145.1; plasmid unnamed2:NZ_CP070146.1/CP070146.1; plasmid unnamed3:NZ_CP070147.1/CP070147.1",,4,5465,"2021-02-17T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/016/904/515/GCA_016904515.1_ASM1690451v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/016/904/515/GCF_016904515.1_ASM1690451v1"
"Klebsiella aerogenes","Bacteria;Proteobacteria;Gammaproteobacteria","18-2341","SAMN14249374","PRJNA554399","GCA_011067245.1","Complete",5.40604,54.9952,"chromosome:NZ_CP049600.1/CP049600.1; plasmid pSECR18-2341_KPC:NZ_CP049601.1/CP049601.1; plasmid pSECR18-2341_NDM:NZ_CP049602.1/CP049602.1",,3,4960,"2020-03-08T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/011/067/245/GCA_011067245.1_ASM1106724v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/011/067/245/GCF_011067245.1_ASM1106724v1"
"Klebsiella oxytoca","Bacteria;Proteobacteria;Gammaproteobacteria","JKo3","SAMD00039250","PRJDB4173","GCA_001548355.1","Complete",6.34338,55.4593,"chromosome Unknown:NZ_AP014951.1/AP014951.1; plasmid pKO_JKo3_1:NZ_AP014952.1/AP014952.1; plasmid pKO_JKo3_2:NZ_AP014953.1/AP014953.1; plasmid pKO_JKo3_3:NZ_AP014954.1/AP014954.1; plasmid pKO_JKo3_4:NZ_AP014955.1/AP014955.1",,5,5913,"2015-09-15T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/548/355/GCA_001548355.1_ASM154835v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/548/355/GCF_001548355.1_ASM154835v1"
"Klebsiella oxytoca","Bacteria;Proteobacteria;Gammaproteobacteria","IR5392","SAMN16561276","PRJNA672237","GCA_017310465.1","Complete",6.36636,54.5938,"chromosome:NZ_CP064108.1/CP064108.1; plasmid unnamed1:NZ_CP064109.1/CP064109.1; plasmid unnamed2:NZ_CP064110.1/CP064110.1; plasmid unnamed3:NZ_CP064111.1/CP064111.1; plasmid unnamed4:NZ_CP064112.1/CP064112.1",,5,5797,"2021-03-09T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/017/310/465/GCA_017310465.1_ASM1731046v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/017/310/465/GCF_017310465.1_ASM1731046v1"
"Klebsiella oxytoca","Bacteria;Proteobacteria;Gammaproteobacteria","AR_0028","SAMN04014869","PRJNA292901","GCA_002947505.1","Complete",6.24514,55.8783,"chromosome:NZ_CP026715.1/CP026715.1; plasmid unitig_1_pilon:NZ_CP026716.1/CP026716.1; plasmid unitig_2_pilon:NZ_CP026717.1/CP026717.1; plasmid unitig_3_pilon:NZ_CP026718.1/CP026718.1",,4,5617,"2018-02-18T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/947/505/GCA_002947505.1_ASM294750v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/947/505/GCF_002947505.1_ASM294750v1"
"Klebsiella oxytoca","Bacteria;Proteobacteria;Gammaproteobacteria","RHBSTW-00452","SAMN15148619","PRJNA605147","GCA_013737205.1","Complete",6.75835,55.4292,"chromosome:CP056495.1; plasmid pRHBSTW-00452_10:CP056504.1; plasmid pRHBSTW-00452_2:CP056496.1; plasmid pRHBSTW-00452_3:CP056497.1; plasmid pRHBSTW-00452_4:CP056498.1; plasmid pRHBSTW-00452_5:CP056499.1; plasmid pRHBSTW-00452_6:CP056500.1; plasmid pRHBSTW-00452_7:CP056501.1; plasmid pRHBSTW-00452_8:CP056502.1; plasmid pRHBSTW-00452_9:CP056503.1",,10,6255,"2020-07-27T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/013/737/205/GCA_013737205.1_ASM1373720v1",
"Klebsiella aerogenes","Bacteria;Proteobacteria;Gammaproteobacteria","KA_P10_L5_03.19","SAMN12807522","PRJNA562727","GCA_008727695.1","Complete",5.39812,54.614,"chromosome:NZ_CP044214.1/CP044214.1; plasmid pIMPIncH12_334kb:NZ_CP044215.1/CP044215.1; plasmid unnamed1:NZ_CP044216.1/CP044216.1",,3,4849,"2019-09-29T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/008/727/695/GCA_008727695.1_ASM872769v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/008/727/695/GCF_008727695.1_ASM872769v1"
"Klebsiella oxytoca","Bacteria;Proteobacteria;Gammaproteobacteria","FDAARGOS_1333","SAMN16357475","PRJNA231221","GCA_016903975.1","Complete",6.06286,55.0426,"chromosome:NZ_CP070020.1/CP070020.1; plasmid unnamed1:NZ_CP070021.1/CP070021.1; plasmid unnamed2:NZ_CP070022.1/CP070022.1; plasmid unnamed3:NZ_CP070023.1/CP070023.1; plasmid unnamed4:NZ_CP070024.1/CP070024.1",,5,5480,"2021-02-17T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/016/903/975/GCA_016903975.1_ASM1690397v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/016/903/975/GCF_016903975.1_ASM1690397v1"
"Klebsiella aerogenes","Bacteria;Proteobacteria;Gammaproteobacteria","C9","SAMN12289361","PRJNA550014","GCA_008931665.1","Complete",5.39066,54.8209,"chromosome:NZ_CP042530.1/CP042530.1; plasmid pC9_001:NZ_CP042531.1/CP042531.1; plasmid pC9_002:NZ_CP042532.1/CP042532.1; plasmid pC9_003:NZ_CP042533.1/CP042533.1",,4,4954,"2019-10-09T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/008/931/665/GCA_008931665.1_ASM893166v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/008/931/665/GCF_008931665.1_ASM893166v1"
"Klebsiella oxytoca","Bacteria;Proteobacteria;Gammaproteobacteria","MSB1_10D-sc-2280340","SAMEA3357409","PRJNA646837","GCA_904863345.1","Complete",6.15453,54.696,"chromosome 1:NZ_LR890312.1/LR890312.1; plasmid 2:NZ_LR890313.1/LR890313.1; plasmid 3:NZ_LR890314.1/LR890314.1; plasmid 4:NZ_LR890315.1/LR890315.1; plasmid 5:NZ_LR890316.1/LR890316.1",,5,5629,"2020-10-30T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/904/863/345/GCA_904863345.1_MSB1_10D","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/904/863/345/GCF_904863345.1_MSB1_10D"
"Klebsiella oxytoca","Bacteria;Proteobacteria;Gammaproteobacteria","RHBSTW-00651","SAMN15148673","PRJNA605147","GCA_013733775.1","Complete",5.99606,55.7911,"chromosome:CP056668.1; plasmid pRHBSTW-00651_2:CP056669.1; plasmid pRHBSTW-00651_3:CP056670.1; plasmid pRHBSTW-00651_4:CP056671.1; plasmid pRHBSTW-00651_5:CP056672.1; plasmid pRHBSTW-00651_6:CP056673.1; plasmid pRHBSTW-00651_7:CP056674.1; plasmid pRHBSTW-00651_8:CP056675.1",,8,5526,"2020-07-27T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/013/733/775/GCA_013733775.1_ASM1373377v1",
"Klebsiella aerogenes","Bacteria;Proteobacteria;Gammaproteobacteria","NCTC9644","SAMEA3492652","PRJEB6403","GCA_900636315.1","Complete",5.80935,57.0604,"chromosome 1:NZ_LR134254.1/LR134254.1; plasmid 2:NZ_LR134255.1/LR134255.1; plasmid 3:NZ_LR134256.1/LR134256.1; plasmid 4:NZ_LR134257.1/LR134257.1; plasmid 5:NZ_LR134258.1/LR134258.1",,5,5411,"2018-12-19T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/636/315/GCA_900636315.1_40363_G01","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/636/315/GCF_900636315.1_40363_G01"
"Klebsiella oxytoca","Bacteria;Proteobacteria;Gammaproteobacteria","KONIH4","SAMN04287054","PRJNA430813","GCA_002906395.1","Complete",6.93845,55.2832,"chromosome:NZ_CP026269.1/CP026269.1; plasmid pKOX-4655:NZ_CP026271.1/CP026271.1; plasmid pKOX-ea2b:NZ_CP026273.1/CP026273.1; plasmid pKPC-4b66:NZ_CP026274.1/CP026274.1; plasmid pKPC-f607:NZ_CP026272.1/CP026272.1; plasmid unnamed:NZ_CP026270.1/CP026270.1",,6,6490,"2018-01-30T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/906/395/GCA_002906395.1_ASM290639v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/906/395/GCF_002906395.1_ASM290639v1"
